Name_jp,Name_en,type,旧帝大,旧六医大,新八医大,NISTEP,国立財務
お茶の水女子大学,Ochanomizu University,国立,0,0,0,,H
愛知教育大学,Aichi University of Education,国立,0,0,0,,E
愛媛大学,Ehime University,国立,0,0,0,G3,G
旭川医科大学,Asahikawa Medical University,国立,0,0,0,,D
一橋大学,Hitotsubashi University,国立,0,0,0,,C
茨城大学,Ibaraki University,国立,0,0,0,,H
宇都宮大学,Utsunomiya University,国立,0,0,0,,H
横浜国立大学,Yokohama National University,国立,0,0,0,,H
横浜市立大学,Yokohama City University,公立,0,0,0,G3,
岡山大学,Okayama University,国立,0,1,0,G2,A
岩手大学,Iwate University,国立,0,0,0,,H
岐阜大学,Gifu University,国立,0,0,0,G3,G
宮崎大学,University of Miyazaki,国立,0,0,0,,G
宮城教育大学,Miyagi University of Education,国立,0,0,0,,E
京都大学,Kyoto University,国立,1,0,0,G1,A
京都教育大学,Kyoto University of Education,国立,0,0,0,,E
京都工芸繊維大学,Kyoto Institute of Technology,国立,0,0,0,,B
近畿大学,Kindai University,私立,0,0,0,G3,
金沢大学,Kanazawa University,国立,0,1,0,G2,G
九州大学,Kyushu University,国立,1,0,0,G2,A
九州工業大学,Kyushu Institute of Technology,国立,0,0,0,,B
熊本大学,Kumamoto University,国立,0,1,0,G3,G
群馬大学,Gunma University,国立,0,0,1,G3,G
慶應義塾大学,Keio University,私立,0,0,0,G2,
広島大学,Hiroshima University,国立,0,0,1,G2,A
弘前大学,Hirosaki University,国立,0,0,1,,G
香川大学,Kagawa University,国立,0,0,0,,G
高知大学,Kochi University,国立,0,0,0,,G
佐賀大学,Saga University,国立,0,0,0,,G
埼玉大学,Saitama University,国立,0,0,0,,H
三重大学,Mie University,国立,0,0,0,G3,G
山形大学,Yamagata University,国立,0,0,0,G3,G
山口大学,Yamaguchi University,国立,0,0,0,G3,G
山梨大学,University of Yamanashi,国立,0,0,0,,G
滋賀大学,Shiga University,国立,0,0,0,,C
滋賀医科大学,Shiga University of Medical Science,国立,0,0,0,,D
鹿屋体育大学,National Institute of Fitness and Sports in Kanoya,国立,0,0,0,,B
鹿児島大学,Kagoshima University,国立,0,0,1,G3,G
室蘭工業大学,Muroran Institute of Technology,国立,0,0,0,,B
秋田大学,Akita University,国立,0,0,0,,G
順天堂大学,Juntendo University,私立,0,0,0,G3,
小樽商科大学,Otaru University of Commerce,国立,0,0,0,,C
上越教育大学,Joetsu University of Education,国立,0,0,0,,E
信州大学,Shinshu University,国立,0,0,1,G3,G
新潟大学,Niigata University,国立,0,1,0,G3,A
神戸大学,Kobe University,国立,0,0,0,G2,A
政策研究大学院大学,National Graduate Institute for Policy Studies,国立,0,0,0,,F
静岡大学,Shizuoka University,国立,0,0,0,G3,H
千葉大学,Chiba University,国立,0,1,0,G2,A
早稲田大学,Waseda University,私立,0,0,0,G2,
総合研究大学院大学,Graduate University for Advanced Studies,国立,0,0,0,,F
帯広畜産大学,Obihiro University of Agriculture and Veterinary Medicine,国立,0,0,0,,B
大阪大学,Osaka University,国立,1,0,0,G1,A
大阪教育大学,Osaka Kyoiku University,国立,0,0,0,,E
大阪市立大学,Osaka City University,公立,0,0,0,G3,
大阪府立大学,Osaka Prefecture University,公立,0,0,0,G3,
大分大学,Oita University,国立,0,0,0,,G
筑波大学,University of Tsukuba,国立,0,0,0,G2,A
筑波技術大学,Tsukuba University of Technology,国立,0,0,0,,C
長岡技術科学大学,Nagaoka University of Technology,国立,0,0,0,,B
長崎大学,Nagasaki University,国立,0,1,0,G3,G
鳥取大学,Tottori University,国立,0,0,1,G3,G
電気通信大学,The University of Electro-Communications,国立,0,0,0,,B
島根大学,Shimane University,国立,0,0,0,,G
東海大学,Tokai University,私立,0,0,0,G3,
東京大学,University of Tokyo,国立,1,0,0,G1,A
東京医科歯科大学,Tokyo Medical and Dental University,国立,0,0,1,G3,D
東京海洋大学,Tokyo University of Marine Science and Technology,国立,0,0,0,,B
東京外国語大学,Tokyo University of Foreign Studies,国立,0,0,0,,C
東京学芸大学,Tokyo Gakugei University,国立,0,0,0,,E
東京工業大学,Tokyo Institute of Technology,国立,0,0,0,G2,B
東京農工大学,Tokyo University of Agriculture and Technology,国立,0,0,0,G3,B
東京理科大学,Tokyo University of Science,私立,0,0,0,G3,
東京藝術大学,Tokyo University of the Arts,国立,0,0,0,,C
東北大学,Tohoku University,国立,1,0,0,G1,A
徳島大学,Tokushima University,国立,0,0,1,G3,G
奈良教育大学,Nara University of Education,国立,0,0,0,,E
奈良女子大学,Nara Women’s University,国立,0,0,0,,H
奈良先端科学技術大学院大学,Nara Institute of Science and Technology,国立,0,0,0,,F
日本大学,Nihon University,私立,0,0,0,G2,
浜松医科大学,Hamamatsu University School of Medicine.,国立,0,0,0,,D
富山大学,University of Toyama,国立,0,0,0,G3,G
福井大学,University of Fukui,国立,0,0,0,,G
福岡教育大学,University of Teacher Education Fukuoka,国立,0,0,0,,E
福島大学,Fukushima University,国立,0,0,0,,C
兵庫教育大学,Hyogo University of Teacher Education,国立,0,0,0,,E
豊橋技術科学大学,Toyohashi University of Technology,国立,0,0,0,,B
北海道大学,Hokkaido University,国立,1,0,0,G2,A
北海道教育大学,Hokkaido University of Education,国立,0,0,0,,E
北見工業大学,Kitami Institute of Technology,国立,0,0,0,,B
北里大学,Kitasato University,私立,0,0,0,G3,
北陸先端科学技術大学院大学,Japan Advanced Institute of Science and Technology,国立,0,0,0,,F
名古屋大学,Nagoya University,国立,1,0,0,G2,A
名古屋工業大学,Nagoya Institute of Technology,国立,0,0,0,G3,B
鳴門教育大学,Naruto University of Education,国立,0,0,0,,E
琉球大学,University of the Ryukyus,国立,0,0,0,,G
和歌山大学,Wakayama University,国立,0,0,0,,H
東京女子医科大学,Tokyo Women's Medical University,私立,0,0,0,G3,
